ENSMUST00000182010.1,366514.09750000003
ENSMUST00000165629.1,197635.0775
ENSMUST00000163829.1,197635.0775
ENSMUST00000167386.3,197635.0775
ENSMUST00000106216.2,197635.0775
ENSMUST00000100497.6,197635.0775
ENSMUST00000164765.1,197635.0775
ENSMUST00000167721.3,197635.0775
ENSMUST00000171419.3,197635.0775
ENSMUST00000192833.1,181432.3325
ENSMUST00000182520.1,181432.3325
ENSMUST00000129380.1,130449.24250000001
ENSMUST00000156988.1,130449.24250000001
ENSMUST00000150960.1,130449.24250000001
ENSMUST00000154207.3,130449.24250000001
ENSMUST00000126614.1,130449.24250000001
ENSMUST00000144523.3,130449.24250000001
ENSMUST00000143570.1,130449.24250000001
ENSMUST00000042235.10,130449.24250000001
ENSMUST00000033229.3,128452.75
ENSMUST00000097014.5,114413.8225
ENSMUST00000134214.1,114413.8225
ENSMUST00000136329.1,114413.8225
ENSMUST00000190277.1,99932.9225
ENSMUST00000133964.1,97194.3475
ENSMUST00000140984.1,97194.3475
ENSMUST00000138895.1,97194.3475
ENSMUST00000117870.3,97194.3475
ENSMUST00000149936.1,97194.3475
ENSMUST00000117557.3,97194.3475
ENSMUST00000127699.1,97194.3475
ENSMUST00000015800.11,97194.3475
ENSMUST00000153847.1,97194.3475
ENSMUST00000160552.1,93976.33499999999
ENSMUST00000160966.1,93976.33499999999
ENSMUST00000161079.1,93976.33499999999
ENSMUST00000161051.3,93976.33499999999
ENSMUST00000163014.1,93976.33499999999
ENSMUST00000161158.1,93976.33499999999
ENSMUST00000161682.1,93976.33499999999
ENSMUST00000161736.1,93976.33499999999
ENSMUST00000161790.1,93976.33499999999
ENSMUST00000162415.3,93976.33499999999
ENSMUST00000160132.3,93976.33499999999
ENSMUST00000162394.1,93976.33499999999
ENSMUST00000159465.1,93976.33499999999
ENSMUST00000159305.1,93976.33499999999
ENSMUST00000135869.1,93678.95749999999
ENSMUST00000094434.6,93678.95749999999
ENSMUST00000132205.3,93678.95749999999
ENSMUST00000124261.3,93678.95749999999
ENSMUST00000155582.1,93678.95749999999
ENSMUST00000082408.1,90962.81749999999
ENSMUST00000144868.1,89788.75
ENSMUST00000156343.1,89788.75
ENSMUST00000128055.1,89788.75
ENSMUST00000089616.5,89788.75
ENSMUST00000071555.8,89788.75
ENSMUST00000062147.9,89788.75
ENSMUST00000131103.4,89788.75
ENSMUST00000141406.3,89788.75
ENSMUST00000106215.6,89788.75
ENSMUST00000019649.3,82712.53749999999
ENSMUST00000136938.1,82712.53749999999
ENSMUST00000082390.1,75008.0
ENSMUST00000145205.1,74627.465
ENSMUST00000165127.3,74627.465
ENSMUST00000163966.3,74627.465
ENSMUST00000146770.3,74627.465
ENSMUST00000166469.3,74627.465
ENSMUST00000024739.9,74627.465
ENSMUST00000130406.1,74627.465
ENSMUST00000151306.1,74627.465
ENSMUST00000163694.2,73625.25
ENSMUST00000034834.11,73625.25
ENSMUST00000130809.3,71722.02
ENSMUST00000136859.1,71722.02
ENSMUST00000138458.3,71722.02
ENSMUST00000125266.3,71722.02
ENSMUST00000136327.1,71722.02
ENSMUST00000137456.3,71722.02
ENSMUST00000145025.3,71722.02
ENSMUST00000102553.6,71722.02
ENSMUST00000102552.3,71722.02
